year;state;month;number;date
1998;Acre;Agosto;130.0;1998-01-01
1999;Acre;Agosto;63.0;1999-01-01
2000;Acre;Agosto;136.0;2000-01-01
2001;Acre;Agosto;396.0;2001-01-01
2002;Acre;Agosto;728.0;2002-01-01
2003;Acre;Agosto;1.976;2003-01-01
2004;Acre;Agosto;645.0;2004-01-01
2005;Acre;Agosto;4.198;2005-01-01
2006;Acre;Agosto;839.0;2006-01-01
2007;Acre;Agosto;960.0;2007-01-01
2008;Acre;Agosto;445.0;2008-01-01
2009;Acre;Agosto;194.0;2009-01-01
2010;Acre;Agosto;1.682;2010-01-01
2011;Acre;Agosto;425.0;2011-01-01
2012;Acre;Agosto;739.0;2012-01-01
2013;Acre;Agosto;679.0;2013-01-01
2014;Acre;Agosto;1.1;2014-01-01
2015;Acre;Agosto;1.397;2015-01-01
2016;Acre;Agosto;2.188;2016-01-01
2017;Acre;Agosto;1.493;2017-01-01
1998;Alagoas;Agosto;1.0;1998-01-01
1999;Alagoas;Agosto;3.0;1999-01-01
2000;Alagoas;Agosto;4.0;2000-01-01
2001;Alagoas;Agosto;1.0;2001-01-01
2002;Alagoas;Agosto;3.0;2002-01-01
2003;Alagoas;Agosto;2.0;2003-01-01
2004;Alagoas;Agosto;2.0;2004-01-01
2005;Alagoas;Agosto;2.0;2005-01-01
2006;Alagoas;Agosto;1.0;2006-01-01
2007;Alagoas;Agosto;3.0;2007-01-01
2008;Alagoas;Agosto;1.0;2008-01-01
2009;Alagoas;Agosto;0.0;2009-01-01
2010;Alagoas;Agosto;1.0;2010-01-01
2011;Alagoas;Agosto;4.0;2011-01-01
2012;Alagoas;Agosto;0.0;2012-01-01
2013;Alagoas;Agosto;0.0;2013-01-01
2014;Alagoas;Agosto;3.0;2014-01-01
2015;Alagoas;Agosto;3.0;2015-01-01
2016;Alagoas;Agosto;5.0;2016-01-01
2017;Alagoas;Agosto;1.0;2017-01-01
1998;Amapa;Agosto;1.0;1998-01-01
1999;Amapa;Agosto;0.0;1999-01-01
2000;Amapa;Agosto;3.0;2000-01-01
2001;Amapa;Agosto;12.0;2001-01-01
2002;Amapa;Agosto;18.0;2002-01-01
2003;Amapa;Agosto;14.0;2003-01-01
2004;Amapa;Agosto;9.0;2004-01-01
2005;Amapa;Agosto;4.0;2005-01-01
2006;Amapa;Agosto;11.0;2006-01-01
2007;Amapa;Agosto;5.0;2007-01-01
2008;Amapa;Agosto;4.0;2008-01-01
2009;Amapa;Agosto;20.0;2009-01-01
2010;Amapa;Agosto;1.0;2010-01-01
2011;Amapa;Agosto;16.0;2011-01-01
2012;Amapa;Agosto;19.0;2012-01-01
2013;Amapa;Agosto;9.0;2013-01-01
2014;Amapa;Agosto;18.0;2014-01-01
2015;Amapa;Agosto;40.0;2015-01-01
2016;Amapa;Agosto;37.0;2016-01-01
2017;Amapa;Agosto;33.0;2017-01-01
1998;Amazonas;Agosto;321.0;1998-01-01
1999;Amazonas;Agosto;259.0;1999-01-01
2000;Amazonas;Agosto;180.0;2000-01-01
2001;Amazonas;Agosto;501.0;2001-01-01
2002;Amazonas;Agosto;741.0;2002-01-01
2003;Amazonas;Agosto;1.867;2003-01-01
2004;Amazonas;Agosto;1.207;2004-01-01
2005;Amazonas;Agosto;2.316;2005-01-01
2006;Amazonas;Agosto;1.422;2006-01-01
2007;Amazonas;Agosto;2.241;2007-01-01
2008;Amazonas;Agosto;861.0;2008-01-01
2009;Amazonas;Agosto;1.321;2009-01-01
2010;Amazonas;Agosto;3.727;2010-01-01
2011;Amazonas;Agosto;1.243;2011-01-01
2012;Amazonas;Agosto;3.011;2012-01-01
2013;Amazonas;Agosto;1.276;2013-01-01
2014;Amazonas;Agosto;3.852;2014-01-01
2015;Amazonas;Agosto;4.564;2015-01-01
2016;Amazonas;Agosto;3.611;2016-01-01
2017;Amazonas;Agosto;6.316;2017-01-01
1998;Bahia;Agosto;815.0;1998-01-01
1999;Bahia;Agosto;453.0;1999-01-01
2000;Bahia;Agosto;633.0;2000-01-01
2001;Bahia;Agosto;979.0;2001-01-01
2002;Bahia;Agosto;1.827;2002-01-01
2003;Bahia;Agosto;1.039;2003-01-01
2004;Bahia;Agosto;1.43;2004-01-01
2005;Bahia;Agosto;948.0;2005-01-01
2006;Bahia;Agosto;995.0;2006-01-01
2007;Bahia;Agosto;3.734;2007-01-01
2008;Bahia;Agosto;611.0;2008-01-01
2009;Bahia;Agosto;439.0;2009-01-01
2010;Bahia;Agosto;2.423;2010-01-01
2011;Bahia;Agosto;1.795;2011-01-01
2012;Bahia;Agosto;1.835;2012-01-01
2013;Bahia;Agosto;610.0;2013-01-01
2014;Bahia;Agosto;674.0;2014-01-01
2015;Bahia;Agosto;829.0;2015-01-01
2016;Bahia;Agosto;724.0;2016-01-01
2017;Bahia;Agosto;1.018;2017-01-01
1998;Ceara;Agosto;93.0;1998-01-01
1999;Ceara;Agosto;131.0;1999-01-01
2000;Ceara;Agosto;79.0;2000-01-01
2001;Ceara;Agosto;219.0;2001-01-01
2002;Ceara;Agosto;111.0;2002-01-01
2003;Ceara;Agosto;109.0;2003-01-01
2004;Ceara;Agosto;61.0;2004-01-01
2005;Ceara;Agosto;51.0;2005-01-01
2006;Ceara;Agosto;50.0;2006-01-01
2007;Ceara;Agosto;182.0;2007-01-01
2008;Ceara;Agosto;32.0;2008-01-01
2009;Ceara;Agosto;26.0;2009-01-01
2010;Ceara;Agosto;202.0;2010-01-01
2011;Ceara;Agosto;53.0;2011-01-01
2012;Ceara;Agosto;278.0;2012-01-01
2013;Ceara;Agosto;32.0;2013-01-01
2014;Ceara;Agosto;155.0;2014-01-01
2015;Ceara;Agosto;127.0;2015-01-01
2016;Ceara;Agosto;293.0;2016-01-01
2017;Ceara;Agosto;121.0;2017-01-01
1998;Distrito Federal;Agosto;48.0;1998-01-01
1999;Distrito Federal;Agosto;16.0;1999-01-01
2000;Distrito Federal;Agosto;9.0;2000-01-01
2001;Distrito Federal;Agosto;25.0;2001-01-01
2002;Distrito Federal;Agosto;53.0;2002-01-01
2003;Distrito Federal;Agosto;36.0;2003-01-01
2004;Distrito Federal;Agosto;108.0;2004-01-01
2005;Distrito Federal;Agosto;20.0;2005-01-01
2006;Distrito Federal;Agosto;40.0;2006-01-01
2007;Distrito Federal;Agosto;137.0;2007-01-01
2008;Distrito Federal;Agosto;30.0;2008-01-01
2009;Distrito Federal;Agosto;37.0;2009-01-01
2010;Distrito Federal;Agosto;159.0;2010-01-01
2011;Distrito Federal;Agosto;61.0;2011-01-01
2012;Distrito Federal;Agosto;55.0;2012-01-01
2013;Distrito Federal;Agosto;34.0;2013-01-01
2014;Distrito Federal;Agosto;99.0;2014-01-01
2015;Distrito Federal;Agosto;53.0;2015-01-01
2016;Distrito Federal;Agosto;29.0;2016-01-01
2017;Distrito Federal;Agosto;147.0;2017-01-01
1998;Espirito Santo;Agosto;38.0;1998-01-01
1999;Espirito Santo;Agosto;60.0;1999-01-01
2000;Espirito Santo;Agosto;26.0;2000-01-01
2001;Espirito Santo;Agosto;30.0;2001-01-01
2002;Espirito Santo;Agosto;60.0;2002-01-01
2003;Espirito Santo;Agosto;118.0;2003-01-01
2004;Espirito Santo;Agosto;12.0;2004-01-01
2005;Espirito Santo;Agosto;12.0;2005-01-01
2006;Espirito Santo;Agosto;29.0;2006-01-01
2007;Espirito Santo;Agosto;82.0;2007-01-01
2008;Espirito Santo;Agosto;13.0;2008-01-01
2009;Espirito Santo;Agosto;17.0;2009-01-01
2010;Espirito Santo;Agosto;39.0;2010-01-01
2011;Espirito Santo;Agosto;93.0;2011-01-01
2012;Espirito Santo;Agosto;12.0;2012-01-01
2013;Espirito Santo;Agosto;53.0;2013-01-01
2014;Espirito Santo;Agosto;47.0;2014-01-01
2015;Espirito Santo;Agosto;35.0;2015-01-01
2016;Espirito Santo;Agosto;78.0;2016-01-01
2017;Espirito Santo;Agosto;30.0;2017-01-01
1998;Goias;Agosto;2.218;1998-01-01
1999;Goias;Agosto;1.198;1999-01-01
2000;Goias;Agosto;925.0;2000-01-01
2001;Goias;Agosto;787.0;2001-01-01
2002;Goias;Agosto;1.428;2002-01-01
2003;Goias;Agosto;902.0;2003-01-01
2004;Goias;Agosto;1.498;2004-01-01
2005;Goias;Agosto;639.0;2005-01-01
2006;Goias;Agosto;588.0;2006-01-01
2007;Goias;Agosto;2.382;2007-01-01
2008;Goias;Agosto;568.0;2008-01-01
2009;Goias;Agosto;647.0;2009-01-01
2010;Goias;Agosto;2.914;2010-01-01
2011;Goias;Agosto;1.613;2011-01-01
2012;Goias;Agosto;912.0;2012-01-01
2013;Goias;Agosto;488.0;2013-01-01
2014;Goias;Agosto;1.255;2014-01-01
2015;Goias;Agosto;943.0;2015-01-01
2016;Goias;Agosto;1.032;2016-01-01
2017;Goias;Agosto;1.492;2017-01-01
1998;Maranhao;Agosto;1.176;1998-01-01
1999;Maranhao;Agosto;895.0;1999-01-01
2000;Maranhao;Agosto;839.0;2000-01-01
2001;Maranhao;Agosto;2.037;2001-01-01
2002;Maranhao;Agosto;3.481;2002-01-01
2003;Maranhao;Agosto;2.023;2003-01-01
2004;Maranhao;Agosto;1.889;2004-01-01
2005;Maranhao;Agosto;2.239;2005-01-01
2006;Maranhao;Agosto;1.382;2006-01-01
2007;Maranhao;Agosto;8.409;2007-01-01
2008;Maranhao;Agosto;713.0;2008-01-01
2009;Maranhao;Agosto;1.766;2009-01-01
2010;Maranhao;Agosto;6.353;2010-01-01
2011;Maranhao;Agosto;2.138;2011-01-01
2012;Maranhao;Agosto;10.395;2012-01-01
2013;Maranhao;Agosto;2.098;2013-01-01
2014;Maranhao;Agosto;5.592;2014-01-01
2015;Maranhao;Agosto;5.428;2015-01-01
2016;Maranhao;Agosto;3.723;2016-01-01
2017;Maranhao;Agosto;3.875;2017-01-01
1998;Mato Grosso;Agosto;15.406;1998-01-01
1999;Mato Grosso;Agosto;18.566;1999-01-01
2000;Mato Grosso;Agosto;6.063;2000-01-01
2001;Mato Grosso;Agosto;7.762;2001-01-01
2002;Mato Grosso;Agosto;14.086;2002-01-01
2003;Mato Grosso;Agosto;11.132;2003-01-01
2004;Mato Grosso;Agosto;13.603;2004-01-01
2005;Mato Grosso;Agosto;11.57;2005-01-01
2006;Mato Grosso;Agosto;6.218;2006-01-01
2007;Mato Grosso;Agosto;14.453;2007-01-01
2008;Mato Grosso;Agosto;2.875;2008-01-01
2009;Mato Grosso;Agosto;2.25;2009-01-01
2010;Mato Grosso;Agosto;14.608;2010-01-01
2011;Mato Grosso;Agosto;2.628;2011-01-01
2012;Mato Grosso;Agosto;6.195;2012-01-01
2013;Mato Grosso;Agosto;3.568;2013-01-01
2014;Mato Grosso;Agosto;7.167;2014-01-01
2015;Mato Grosso;Agosto;5.112;2015-01-01
2016;Mato Grosso;Agosto;6.228;2016-01-01
2017;Mato Grosso;Agosto;6.229;2017-01-01
1998;Mato Grosso;Agosto;228.0;1998-01-01
1999;Mato Grosso;Agosto;4.355;1999-01-01
2000;Mato Grosso;Agosto;530.0;2000-01-01
2001;Mato Grosso;Agosto;2.484;2001-01-01
2002;Mato Grosso;Agosto;3.984;2002-01-01
2003;Mato Grosso;Agosto;953.0;2003-01-01
2004;Mato Grosso;Agosto;1.408;2004-01-01
2005;Mato Grosso;Agosto;4.484;2005-01-01
2006;Mato Grosso;Agosto;1.129;2006-01-01
2007;Mato Grosso;Agosto;1.823;2007-01-01
2008;Mato Grosso;Agosto;456.0;2008-01-01
2009;Mato Grosso;Agosto;816.0;2009-01-01
2010;Mato Grosso;Agosto;1.721;2010-01-01
2011;Mato Grosso;Agosto;552.0;2011-01-01
2012;Mato Grosso;Agosto;2.951;2012-01-01
2013;Mato Grosso;Agosto;677.0;2013-01-01
2014;Mato Grosso;Agosto;312.0;2014-01-01
2015;Mato Grosso;Agosto;1.293;2015-01-01
2016;Mato Grosso;Agosto;1.481;2016-01-01
2017;Mato Grosso;Agosto;1.488;2017-01-01
1998;Minas Gerais;Agosto;875.0;1998-01-01
1999;Minas Gerais;Agosto;1.19;1999-01-01
2000;Minas Gerais;Agosto;769.0;2000-01-01
2001;Minas Gerais;Agosto;858.0;2001-01-01
2002;Minas Gerais;Agosto;2.041;2002-01-01
2003;Minas Gerais;Agosto;1.955;2003-01-01
2004;Minas Gerais;Agosto;1.642;2004-01-01
2005;Minas Gerais;Agosto;1.029;2005-01-01
2006;Minas Gerais;Agosto;959.0;2006-01-01
2007;Minas Gerais;Agosto;2.975;2007-01-01
2008;Minas Gerais;Agosto;605.0;2008-01-01
2009;Minas Gerais;Agosto;685.0;2009-01-01
2010;Minas Gerais;Agosto;3.353;2010-01-01
2011;Minas Gerais;Agosto;2.742;2011-01-01
2012;Minas Gerais;Agosto;901.0;2012-01-01
2013;Minas Gerais;Agosto;911.0;2013-01-01
2014;Minas Gerais;Agosto;1.952;2014-01-01
2015;Minas Gerais;Agosto;1.059;2015-01-01
2016;Minas Gerais;Agosto;1.433;2016-01-01
2017;Minas Gerais;Agosto;2.142;2017-01-01
1998;Pará;Agosto;6.815;1998-01-01
1999;Pará;Agosto;6.178;1999-01-01
2000;Pará;Agosto;5.484;2000-01-01
2001;Pará;Agosto;9.043;2001-01-01
2002;Pará;Agosto;15.664;2002-01-01
2003;Pará;Agosto;6.255;2003-01-01
2004;Pará;Agosto;12.812;2004-01-01
2005;Pará;Agosto;13.055;2005-01-01
2006;Pará;Agosto;7.575;2006-01-01
2007;Pará;Agosto;14.352;2007-01-01
2008;Pará;Agosto;4.435;2008-01-01
2009;Pará;Agosto;3.859;2009-01-01
2010;Pará;Agosto;18.13;2010-01-01
2011;Pará;Agosto;2.195;2011-01-01
2012;Pará;Agosto;6.964;2012-01-01
2013;Pará;Agosto;2.161;2013-01-01
2014;Pará;Agosto;8.555;2014-01-01
2015;Pará;Agosto;7.913;2015-01-01
2016;Pará;Agosto;4.863;2016-01-01
2017;Pará;Agosto;11.962;2017-01-01
1998;Paraiba;Agosto;3.0;1998-01-01
1999;Paraiba;Agosto;4.0;1999-01-01
2000;Paraiba;Agosto;7.0;2000-01-01
2001;Paraiba;Agosto;34.0;2001-01-01
2002;Paraiba;Agosto;38.0;2002-01-01
2003;Paraiba;Agosto;14.0;2003-01-01
2004;Paraiba;Agosto;18.0;2004-01-01
2005;Paraiba;Agosto;0.0;2005-01-01
2006;Paraiba;Agosto;3.0;2006-01-01
2007;Paraiba;Agosto;8.0;2007-01-01
2008;Paraiba;Agosto;1.0;2008-01-01
2009;Paraiba;Agosto;4.0;2009-01-01
2010;Paraiba;Agosto;9.0;2010-01-01
2011;Paraiba;Agosto;12.0;2011-01-01
2012;Paraiba;Agosto;13.0;2012-01-01
2013;Paraiba;Agosto;3.0;2013-01-01
2014;Paraiba;Agosto;30.0;2014-01-01
2015;Paraiba;Agosto;5.0;2015-01-01
2016;Paraiba;Agosto;50.0;2016-01-01
2017;Paraiba;Agosto;3.0;2017-01-01
1998;Paraiba;Agosto;42.0;1998-01-01
1999;Paraiba;Agosto;938.0;1999-01-01
2000;Paraiba;Agosto;849.0;2000-01-01
2001;Paraiba;Agosto;342.0;2001-01-01
2002;Paraiba;Agosto;1.593;2002-01-01
2003;Paraiba;Agosto;1.896;2003-01-01
2004;Paraiba;Agosto;1.237;2004-01-01
2005;Paraiba;Agosto;800.0;2005-01-01
2006;Paraiba;Agosto;844.0;2006-01-01
2007;Paraiba;Agosto;580.0;2007-01-01
2008;Paraiba;Agosto;205.0;2008-01-01
2009;Paraiba;Agosto;844.0;2009-01-01
2010;Paraiba;Agosto;733.0;2010-01-01
2011;Paraiba;Agosto;435.0;2011-01-01
2012;Paraiba;Agosto;522.0;2012-01-01
2013;Paraiba;Agosto;481.0;2013-01-01
2014;Paraiba;Agosto;646.0;2014-01-01
2015;Paraiba;Agosto;651.0;2015-01-01
2016;Paraiba;Agosto;1.01;2016-01-01
2017;Paraiba;Agosto;987.0;2017-01-01
1998;Pernambuco;Agosto;12.0;1998-01-01
1999;Pernambuco;Agosto;3.0;1999-01-01
2000;Pernambuco;Agosto;31.0;2000-01-01
2001;Pernambuco;Agosto;27.0;2001-01-01
2002;Pernambuco;Agosto;37.0;2002-01-01
2003;Pernambuco;Agosto;26.0;2003-01-01
2004;Pernambuco;Agosto;41.0;2004-01-01
2005;Pernambuco;Agosto;10.0;2005-01-01
2006;Pernambuco;Agosto;8.0;2006-01-01
2007;Pernambuco;Agosto;20.0;2007-01-01
2008;Pernambuco;Agosto;2.0;2008-01-01
2009;Pernambuco;Agosto;10.0;2009-01-01
2010;Pernambuco;Agosto;29.0;2010-01-01
2011;Pernambuco;Agosto;27.0;2011-01-01
2012;Pernambuco;Agosto;27.0;2012-01-01
