year;state;month;number;date
1998;Amazonas;Janeiro;0.0;1998-01-01
1999;Amazonas;Janeiro;3.0;1999-01-01
2000;Amazonas;Janeiro;7.0;2000-01-01
2001;Amazonas;Janeiro;3.0;2001-01-01
2002;Amazonas;Janeiro;17.0;2002-01-01
2003;Amazonas;Janeiro;158.0;2003-01-01
2004;Amazonas;Janeiro;123.0;2004-01-01
2005;Amazonas;Janeiro;44.0;2005-01-01
2006;Amazonas;Janeiro;20.0;2006-01-01
2007;Amazonas;Janeiro;37.0;2007-01-01
2008;Amazonas;Janeiro;16.0;2008-01-01
2009;Amazonas;Janeiro;9.0;2009-01-01
2010;Amazonas;Janeiro;82.0;2010-01-01
2011;Amazonas;Janeiro;53.0;2011-01-01
2012;Amazonas;Janeiro;6.0;2012-01-01
2013;Amazonas;Janeiro;37.0;2013-01-01
2014;Amazonas;Janeiro;46.0;2014-01-01
2015;Amazonas;Janeiro;35.0;2015-01-01
2016;Amazonas;Janeiro;770.0;2016-01-01
2017;Amazonas;Janeiro;65.0;2017-01-01
1998;Amazonas;Fevereiro;0.0;1998-01-01
1999;Amazonas;Fevereiro;43.0;1999-01-01
2000;Amazonas;Fevereiro;62.0;2000-01-01
2001;Amazonas;Fevereiro;8.0;2001-01-01
2002;Amazonas;Fevereiro;2.0;2002-01-01
2003;Amazonas;Fevereiro;62.0;2003-01-01
2004;Amazonas;Fevereiro;92.0;2004-01-01
2005;Amazonas;Fevereiro;6.0;2005-01-01
2006;Amazonas;Fevereiro;10.0;2006-01-01
2007;Amazonas;Fevereiro;92.0;2007-01-01
2008;Amazonas;Fevereiro;32.0;2008-01-01
2009;Amazonas;Fevereiro;3.0;2009-01-01
2010;Amazonas;Fevereiro;81.0;2010-01-01
2011;Amazonas;Fevereiro;30.0;2011-01-01
2012;Amazonas;Fevereiro;25.0;2012-01-01
2013;Amazonas;Fevereiro;16.0;2013-01-01
2014;Amazonas;Fevereiro;49.0;2014-01-01
2015;Amazonas;Fevereiro;107.0;2015-01-01
2016;Amazonas;Fevereiro;275.0;2016-01-01
2017;Amazonas;Fevereiro;52.0;2017-01-01
1998;Amazonas;Março;0.0;1998-01-01
1999;Amazonas;Março;7.0;1999-01-01
2000;Amazonas;Março;69.0;2000-01-01
2001;Amazonas;Março;6.0;2001-01-01
2002;Amazonas;Março;5.0;2002-01-01
2003;Amazonas;Março;64.0;2003-01-01
2004;Amazonas;Março;6.0;2004-01-01
2005;Amazonas;Março;12.0;2005-01-01
2006;Amazonas;Março;20.0;2006-01-01
2007;Amazonas;Março;6.0;2007-01-01
2008;Amazonas;Março;10.0;2008-01-01
2009;Amazonas;Março;11.0;2009-01-01
2010;Amazonas;Março;116.0;2010-01-01
2011;Amazonas;Março;49.0;2011-01-01
2012;Amazonas;Março;17.0;2012-01-01
2013;Amazonas;Março;49.0;2013-01-01
2014;Amazonas;Março;50.0;2014-01-01
2015;Amazonas;Março;46.0;2015-01-01
2016;Amazonas;Março;140.0;2016-01-01
2017;Amazonas;Março;45.0;2017-01-01
1998;Amazonas;Abril;0.0;1998-01-01
1999;Amazonas;Abril;2.0;1999-01-01
2000;Amazonas;Abril;18.0;2000-01-01
2001;Amazonas;Abril;1.0;2001-01-01
2002;Amazonas;Abril;2.0;2002-01-01
2003;Amazonas;Abril;11.0;2003-01-01
2004;Amazonas;Abril;4.0;2004-01-01
2005;Amazonas;Abril;5.0;2005-01-01
2006;Amazonas;Abril;5.0;2006-01-01
2007;Amazonas;Abril;0.0;2007-01-01
2008;Amazonas;Abril;13.0;2008-01-01
2009;Amazonas;Abril;1.0;2009-01-01
2010;Amazonas;Abril;11.0;2010-01-01
2011;Amazonas;Abril;5.0;2011-01-01
2012;Amazonas;Abril;3.0;2012-01-01
2013;Amazonas;Abril;20.0;2013-01-01
2014;Amazonas;Abril;25.0;2014-01-01
2015;Amazonas;Abril;24.0;2015-01-01
2016;Amazonas;Abril;22.0;2016-01-01
2017;Amazonas;Abril;20.0;2017-01-01
1998;Amazonas;Maio;0.0;1998-01-01
1999;Amazonas;Maio;0.0;1999-01-01
2000;Amazonas;Maio;51.0;2000-01-01
2001;Amazonas;Maio;0.0;2001-01-01
2002;Amazonas;Maio;8.0;2002-01-01
2003;Amazonas;Maio;2.0;2003-01-01
2004;Amazonas;Maio;0.0;2004-01-01
2005;Amazonas;Maio;8.0;2005-01-01
2006;Amazonas;Maio;4.0;2006-01-01
2007;Amazonas;Maio;0.0;2007-01-01
2008;Amazonas;Maio;1.0;2008-01-01
2009;Amazonas;Maio;3.0;2009-01-01
2010;Amazonas;Maio;13.0;2010-01-01
2011;Amazonas;Maio;6.0;2011-01-01
2012;Amazonas;Maio;12.0;2012-01-01
2013;Amazonas;Maio;19.0;2013-01-01
2014;Amazonas;Maio;12.0;2014-01-01
2015;Amazonas;Maio;10.0;2015-01-01
2016;Amazonas;Maio;30.0;2016-01-01
2017;Amazonas;Maio;40.0;2017-01-01
1998;Amazonas;Junho;2.0;1998-01-01
1999;Amazonas;Junho;7.0;1999-01-01
2000;Amazonas;Junho;6.0;2000-01-01
2001;Amazonas;Junho;5.0;2001-01-01
2002;Amazonas;Junho;5.0;2002-01-01
2003;Amazonas;Junho;3.0;2003-01-01
2004;Amazonas;Junho;12.0;2004-01-01
2005;Amazonas;Junho;78.0;2005-01-01
2006;Amazonas;Junho;9.0;2006-01-01
2007;Amazonas;Junho;23.0;2007-01-01
2008;Amazonas;Junho;7.0;2008-01-01
2009;Amazonas;Junho;13.0;2009-01-01
2010;Amazonas;Junho;9.0;2010-01-01
2011;Amazonas;Junho;22.0;2011-01-01
2012;Amazonas;Junho;45.0;2012-01-01
2013;Amazonas;Junho;56.0;2013-01-01
2014;Amazonas;Junho;74.0;2014-01-01
2015;Amazonas;Junho;33.0;2015-01-01
2016;Amazonas;Junho;90.0;2016-01-01
2017;Amazonas;Junho;119.0;2017-01-01
1998;Amazonas;Julho;71.0;1998-01-01
1999;Amazonas;Julho;11.0;1999-01-01
2000;Amazonas;Julho;39.0;2000-01-01
2001;Amazonas;Julho;9.0;2001-01-01
2002;Amazonas;Julho;146.0;2002-01-01
2003;Amazonas;Julho;180.0;2003-01-01
2004;Amazonas;Julho;177.0;2004-01-01
2005;Amazonas;Julho;676.0;2005-01-01
2006;Amazonas;Julho;123.0;2006-01-01
2007;Amazonas;Julho;116.0;2007-01-01
2008;Amazonas;Julho;108.0;2008-01-01
2009;Amazonas;Julho;199.0;2009-01-01
2010;Amazonas;Julho;640.0;2010-01-01
2011;Amazonas;Julho;271.0;2011-01-01
2012;Amazonas;Julho;234.0;2012-01-01
2013;Amazonas;Julho;248.0;2013-01-01
2014;Amazonas;Julho;202.0;2014-01-01
2015;Amazonas;Julho;356.0;2015-01-01
2016;Amazonas;Julho;1.137;2016-01-01
2017;Amazonas;Julho;1.975;2017-01-01
1998;Amazonas;Agosto;321.0;1998-01-01
1999;Amazonas;Agosto;259.0;1999-01-01
2000;Amazonas;Agosto;180.0;2000-01-01
2001;Amazonas;Agosto;501.0;2001-01-01
2002;Amazonas;Agosto;741.0;2002-01-01
2003;Amazonas;Agosto;1.867;2003-01-01
2004;Amazonas;Agosto;1.207;2004-01-01
2005;Amazonas;Agosto;2.316;2005-01-01
2006;Amazonas;Agosto;1.422;2006-01-01
2007;Amazonas;Agosto;2.241;2007-01-01
2008;Amazonas;Agosto;861.0;2008-01-01
2009;Amazonas;Agosto;1.321;2009-01-01
2010;Amazonas;Agosto;3.727;2010-01-01
2011;Amazonas;Agosto;1.243;2011-01-01
2012;Amazonas;Agosto;3.011;2012-01-01
2013;Amazonas;Agosto;1.276;2013-01-01
2014;Amazonas;Agosto;3.852;2014-01-01
2015;Amazonas;Agosto;4.564;2015-01-01
2016;Amazonas;Agosto;3.611;2016-01-01
2017;Amazonas;Agosto;6.316;2017-01-01
1998;Amazonas;Setembro;267.0;1998-01-01
1999;Amazonas;Setembro;216.0;1999-01-01
2000;Amazonas;Setembro;189.0;2000-01-01
2001;Amazonas;Setembro;166.0;2001-01-01
2002;Amazonas;Setembro;928.0;2002-01-01
