year;state;month;number;date
2015;Acre;Janeiro;1.0;2015-01-01
2016;Acre;Janeiro;12.0;2016-01-01
2017;Acre;Janeiro;0.0;2017-01-01
2015;Acre;Fevereiro;2.0;2015-01-01
2016;Acre;Fevereiro;5.0;2016-01-01
2017;Acre;Fevereiro;1.0;2017-01-01
2015;Acre;Março;2.0;2015-01-01
2016;Acre;Março;0.0;2016-01-01
2017;Acre;Março;0.0;2017-01-01
2015;Acre;Abril;3.0;2015-01-01
2016;Acre;Abril;0.0;2016-01-01
2017;Acre;Abril;1.0;2017-01-01
2015;Acre;Maio;2.0;2015-01-01
2016;Acre;Maio;21.0;2016-01-01
2017;Acre;Maio;10.0;2017-01-01
2015;Acre;Junho;40.0;2015-01-01
2016;Acre;Junho;87.0;2016-01-01
2017;Acre;Junho;45.0;2017-01-01
2015;Acre;Julho;109.0;2015-01-01
2016;Acre;Julho;533.0;2016-01-01
2017;Acre;Julho;457.0;2017-01-01
2015;Acre;Agosto;1.397;2015-01-01
2016;Acre;Agosto;2.188;2016-01-01
2017;Acre;Agosto;1.493;2017-01-01
2015;Acre;Setembro;2.928;2015-01-01
2016;Acre;Setembro;3.586;2016-01-01
2017;Acre;Setembro;3.429;2017-01-01
2015;Acre;Outubro;905.0;2015-01-01
2016;Acre;Outubro;509.0;2016-01-01
2017;Acre;Outubro;1.508;2017-01-01
2015;Acre;Novembro;115.0;2015-01-01
2016;Acre;Novembro;46.0;2016-01-01
2017;Acre;Novembro;98.0;2017-01-01
2015;Acre;Dezembro;8.0;2015-01-01
2016;Acre;Dezembro;6.0;2016-01-01
2015;Alagoas;Janeiro;81.0;2015-01-01
2016;Alagoas;Janeiro;24.0;2016-01-01
2017;Alagoas;Janeiro;38.0;2017-01-01
2017;Alagoas;Janeiro;38.0;2017-01-01
2015;Alagoas;Fevereiro;46.0;2015-01-01
2016;Alagoas;Fevereiro;14.0;2016-01-01
2017;Alagoas;Fevereiro;21.0;2017-01-01
2015;Alagoas;Março;32.0;2015-01-01
2016;Alagoas;Março;9.0;2016-01-01
2017;Alagoas;Março;23.0;2017-01-01
2015;Alagoas;Abril;63.0;2015-01-01
2016;Alagoas;Abril;13.0;2016-01-01
2017;Alagoas;Abril;7.0;2017-01-01
2015;Alagoas;Maio;18.0;2015-01-01
2016;Alagoas;Maio;4.0;2016-01-01
2017;Alagoas;Maio;1.0;2017-01-01
2015;Alagoas;Junho;2.0;2015-01-01
2016;Alagoas;Junho;5.0;2016-01-01
2017;Alagoas;Junho;2.0;2017-01-01
2015;Alagoas;Julho;0.0;2015-01-01
2016;Alagoas;Julho;3.0;2016-01-01
2017;Alagoas;Julho;0.0;2017-01-01
2015;Alagoas;Agosto;3.0;2015-01-01
2016;Alagoas;Agosto;5.0;2016-01-01
2017;Alagoas;Agosto;1.0;2017-01-01
2015;Alagoas;Setembro;7.0;2015-01-01
2016;Alagoas;Setembro;18.0;2016-01-01
2017;Alagoas;Setembro;4.0;2017-01-01
2015;Alagoas;Outubro;40.0;2015-01-01
2016;Alagoas;Outubro;74.0;2016-01-01
2017;Alagoas;Outubro;14.0;2017-01-01
2015;Alagoas;Novembro;162.0;2015-01-01
2016;Alagoas;Novembro;76.0;2016-01-01
2017;Alagoas;Novembro;10.0;2017-01-01
2015;Alagoas;Dezembro;136.0;2015-01-01
2016;Alagoas;Dezembro;155.0;2016-01-01
2015;Amapa;Janeiro;14.0;2015-01-01
2016;Amapa;Janeiro;19.0;2016-01-01
2017;Amapa;Janeiro;2.0;2017-01-01
2015;Amapa;Fevereiro;1.0;2015-01-01
2016;Amapa;Fevereiro;1.0;2016-01-01
2017;Amapa;Fevereiro;0.0;2017-01-01
2015;Amapa;Março;2.0;2015-01-01
2016;Amapa;Março;5.0;2016-01-01
2017;Amapa;Março;0.0;2017-01-01
2015;Amapa;Abril;0.0;2015-01-01
2016;Amapa;Abril;0.0;2016-01-01
2017;Amapa;Abril;3.0;2017-01-01
2015;Amapa;Maio;0.0;2015-01-01
2016;Amapa;Maio;1.0;2016-01-01
2017;Amapa;Maio;1.0;2017-01-01
2015;Amapa;Junho;3.0;2015-01-01
2016;Amapa;Junho;2.0;2016-01-01
2017;Amapa;Junho;2.0;2017-01-01
2015;Amapa;Julho;5.0;2015-01-01
2016;Amapa;Julho;1.0;2016-01-01
2017;Amapa;Julho;3.0;2017-01-01
2015;Amapa;Agosto;40.0;2015-01-01
2016;Amapa;Agosto;37.0;2016-01-01
2017;Amapa;Agosto;33.0;2017-01-01
2015;Amapa;Setembro;192.0;2015-01-01
2016;Amapa;Setembro;142.0;2016-01-01
2017;Amapa;Setembro;95.0;2017-01-01
2015;Amapa;Outubro;827.0;2015-01-01
2016;Amapa;Outubro;793.0;2016-01-01
2017;Amapa;Outubro;468.0;2017-01-01
2015;Amapa;Novembro;1.3;2015-01-01
2016;Amapa;Novembro;1.161;2016-01-01
2017;Amapa;Novembro;858.0;2017-01-01
2015;Amapa;Dezembro;269.0;2015-01-01
2016;Amapa;Dezembro;491.0;2016-01-01
2015;Amazonas;Janeiro;35.0;2015-01-01
2016;Amazonas;Janeiro;770.0;2016-01-01
2017;Amazonas;Janeiro;65.0;2017-01-01
